Time,x_dot [EE frame],y_dot [EE frame],z_dot [EE frame],roll_dot [EE frame],pitch_dot [EE frame],yaw_dot [EE frame]
0,-0.0030439491,0.0005937009,0.0009887665,0.0020573585,0.0007356657,-0.0028958379
0.0080025072,-0.0030412913,0.0005876634,0.0009908796,0.0020495063,0.0007529834,-0.002870788
0.0160050145,-0.003038666,0.0005816351,0.0009930098,0.0020416603,0.0007703361,-0.0028457823
0.0240075217,-0.0030360732,0.0005756159,0.0009951568,0.0020338204,0.0007877237,-0.0028208209
0.032010029,-0.0030335127,0.0005696058,0.0009973207,0.0020259867,0.000805146,-0.0027959036
0.0400125362,-0.0030309846,0.0005636049,0.0009995014,0.0020181591,0.0008226032,-0.0027710305
0.0480150434,-0.0030284888,0.0005576131,0.0010016989,0.0020103378,0.0008400949,-0.0027462015
0.0560175507,-0.0030260251,0.0005516305,0.0010039133,0.0020025226,0.0008576213,-0.0027214165
0.0640200579,-0.0030235937,0.0005456569,0.0010061443,0.0019947137,0.0008751822,-0.0026966755
0.0720225652,-0.0030211944,0.0005396925,0.0010083921,0.001986911,0.0008927775,-0.0026719785
0.0800250724,-0.0030188272,0.0005337371,0.0010106566,0.0019791145,0.0009104072,-0.0026473253
0.0880275796,-0.003016492,0.0005277909,0.0010129377,0.0019713243,0.0009280711,-0.002622716
0.0960300869,-0.0030141888,0.0005218537,0.0010152355,0.0019635403,0.0009457693,-0.0025981505
0.1040325941,-0.0030119175,0.0005159256,0.0010175498,0.0019557626,0.0009635016,-0.0025736287
0.1120351014,-0.0030096781,0.0005100065,0.0010198807,0.0019479912,0.000981268,-0.0025491507
0.1200376086,-0.0030074706,0.0005040965,0.0010222281,0.0019402261,0.0009990683,-0.0025247163
0.1280401158,-0.0030052948,0.0004981955,0.0010245921,0.0019324673,0.0010169026,-0.0025003255
0.1360426231,-0.0030031507,0.0004923036,0.0010269725,0.0019247148,0.0010347707,-0.0024759783
0.1440451303,-0.0030010383,0.0004864206,0.0010293693,0.0019169687,0.0010526726,-0.0024516746
0.1520476376,-0.0029989576,0.0004805467,0.0010317825,0.0019092289,0.0010706082,-0.0024274143
0.1600501448,-0.0029969084,0.0004746818,0.0010342121,0.0019014954,0.0010885773,-0.0024031975
0.168052652,-0.0029948907,0.0004688259,0.0010366581,0.0018937683,0.0011065801,-0.002379024
0.1760551593,-0.0029929045,0.000462979,0.0010391204,0.0018860476,0.0011246162,-0.0023548938
0.1840576665,-0.0029909498,0.0004571411,0.0010415989,0.0018783333,0.0011426858,-0.0023308069
0.1920601738,-0.0029890264,0.0004513121,0.0010440937,0.0018706254,0.0011607887,-0.0023067633
0.200062681,-0.0029871344,0.0004454921,0.0010466047,0.0018629239,0.0011789248,-0.0022827628
0.2080651882,-0.0029852736,0.0004396811,0.0010491319,0.0018552288,0.0011970941,-0.0022588054
0.2160676955,-0.002983444,0.000433879,0.0010516753,0.0018475402,0.0012152965,-0.0022348912
0.2240702027,-0.0029816456,0.0004280858,0.0010542348,0.001839858,0.0012335319,-0.0022110199
0.2320727099,-0.0029798784,0.0004223016,0.0010568104,0.0018321822,0.0012518003,-0.0021871917
0.2400752172,-0.0029781422,0.0004165262,0.001059402,0.001824513,0.0012701015,-0.0021634064
0.2480777244,-0.0029764371,0.0004107598,0.0010620097,0.0018168502,0.0012884356,-0.0021396639
0.2560802317,-0.0029747629,0.0004050023,0.0010646334,0.0018091939,0.0013068023,-0.0021159644
0.2640827389,-0.0029731196,0.0003992537,0.0010672731,0.0018015441,0.0013252017,-0.0020923076
0.2720852461,-0.0029715073,0.0003935139,0.0010699287,0.0017939008,0.0013436337,-0.0020686935
0.2800877534,-0.0029699257,0.0003877831,0.0010726002,0.0017862641,0.0013620982,-0.0020451222
0.2880902606,-0.0029683749,0.0003820611,0.0010752876,0.0017786338,0.0013805951,-0.0020215935
0.2960927679,-0.0029668549,0.0003763479,0.0010779909,0.0017710102,0.0013991244,-0.0019981074
0.3040952751,-0.0029653655,0.0003706436,0.00108071,0.0017633931,0.0014176859,-0.0019746639
0.3120977823,-0.0029639068,0.0003649482,0.0010834448,0.0017557825,0.0014362797,-0.0019512629
0.3201002896,-0.0029624786,0.0003592616,0.0010861955,0.0017481786,0.0014549056,-0.0019279043
0.3281027968,-0.002961081,0.0003535838,0.0010889618,0.0017405812,0.0014735635,-0.0019045882
0.3361053041,-0.0029597139,0.0003479148,0.0010917439,0.0017329905,0.0014922535,-0.0018813145
0.3441078113,-0.0029583771,0.0003422546,0.0010945416,0.0017254063,0.0015109753,-0.001858083
0.3521103185,-0.0029570708,0.0003366032,0.001097355,0.0017178288,0.001529729,-0.0018348939
0.3601128258,-0.0029557948,0.0003309606,0.001100184,0.001710258,0.0015485145,-0.0018117469
0.368115333,-0.002954549,0.0003253268,0.0011030285,0.0017026937,0.0015673317,-0.0017886422
0.3761178403,-0.0029533335,0.0003197017,0.0011058886,0.0016951362,0.0015861805,-0.0017655796
0.3841203475,-0.0029521482,0.0003140854,0.0011087642,0.0016875853,0.0016050608,-0.001742559
0.3921228547,-0.0029509931,0.0003084779,0.0011116553,0.0016800411,0.0016239727,-0.0017195805
0.400125362,-0.002949868,0.0003028791,0.0011145619,0.0016725036,0.0016429159,-0.001696644
0.4081278692,-0.0029487729,0.0002972891,0.0011174839,0.0016649728,0.0016618905,-0.0016737495
0.4161303765,-0.0029477078,0.0002917077,0.0011204212,0.0016574487,0.0016808963,-0.0016508968
0.4241328837,-0.0029466727,0.0002861351,0.001123374,0.0016499313,0.0016999333,-0.001628086
0.4321353909,-0.0029456675,0.0002805712,0.0011263421,0.0016424207,0.0017190014,-0.0016053171
0.4401378982,-0.002944692,0.000275016,0.0011293255,0.0016349168,0.0017381006,-0.0015825898
0.4481404054,-0.0029437464,0.0002694695,0.0011323241,0.0016274197,0.0017572307,-0.0015599043
0.4561429127,-0.0029428306,0.0002639317,0.001135338,0.0016199293,0.0017763918,-0.0015372604
0.4641454199,-0.0029419444,0.0002584025,0.0011383672,0.0016124457,0.0017955836,-0.0015146582
0.4721479271,-0.0029410878,0.0002528821,0.0011414115,0.001604969,0.0018148062,-0.0014920975
0.4801504344,-0.0029402609,0.0002473702,0.0011444709,0.001597499,0.0018340595,-0.0014695784
0.4881529416,-0.0029394635,0.0002418671,0.0011475455,0.0015900358,0.0018533434,-0.0014471008
0.4961554489,-0.0029386956,0.0002363725,0.0011506352,0.0015825795,0.0018726579,-0.0014246645
0.5041579561,-0.0029379572,0.0002308866,0.00115374,0.00157513,0.0018920028,-0.0014022697
0.5121604633,-0.0029372481,0.0002254094,0.0011568598,0.0015676873,0.0019113781,-0.0013799162
0.5201629706,-0.0029365684,0.0002199407,0.0011599946,0.0015602515,0.0019307837,-0.001357604
0.5281654778,-0.002935918,0.0002144806,0.0011631443,0.0015528225,0.0019502196,-0.001335333
0.5361679851,-0.0029352969,0.0002090292,0.001166309,0.0015454005,0.0019696856,-0.0013131033
0.5441704923,-0.0029347049,0.0002035863,0.0011694887,0.0015379853,0.0019891818,-0.0012909147
0.5521729995,-0.0029341422,0.000198152,0.0011726832,0.001530577,0.002008708,-0.0012687672
0.5601755068,-0.0029336085,0.0001927263,0.0011758926,0.0015231756,0.0020282641,-0.0012466607
0.568178014,-0.0029331039,0.0001873092,0.0011791168,0.0015157812,0.0020478502,-0.0012245953
0.5761805213,-0.0029326283,0.0001819006,0.0011823558,0.0015083937,0.002067466,-0.0012025709
0.5841830285,-0.0029321817,0.0001765006,0.0011856096,0.0015010131,0.0020871116,-0.0011805873
0.5921855357,-0.002931764,0.000171109,0.0011888781,0.0014936394,0.0021067869,-0.0011586447
0.600188043,-0.0029313751,0.0001657261,0.0011921613,0.0014862728,0.0021264918,-0.0011367429
0.6081905502,-0.0029310151,0.0001603516,0.0011954592,0.0014789131,0.0021462262,-0.0011148818
0.6161930574,-0.0029306839,0.0001549857,0.0011987717,0.0014715604,0.0021659901,-0.0010930615
0.6241955647,-0.0029303813,0.0001496283,0.0012020989,0.0014642146,0.0021857834,-0.0010712819
0.6321980719,-0.0029301075,0.0001442793,0.0012054407,0.0014568759,0.002205606,-0.001049543
0.6402005792,-0.0029298623,0.0001389389,0.001208797,0.0014495442,0.0022254579,-0.0010278446
0.6482030864,-0.0029296456,0.0001336069,0.0012121678,0.0014422195,0.0022453389,-0.0010061868
0.6562055936,-0.0029294575,0.0001282834,0.0012155532,0.0014349019,0.0022652491,-0.0009845695
0.6642081009,-0.0029292979,0.0001229684,0.001218953,0.0014275913,0.0022851883,-0.0009629927
0.6722106081,-0.0029291667,0.0001176618,0.0012223673,0.0014202877,0.0023051564,-0.0009414563
0.6802131154,-0.0029290639,0.0001123636,0.001225796,0.0014129912,0.0023251534,-0.0009199602
0.6882156226,-0.0029289894,0.0001070739,0.001229239,0.0014057018,0.0023451793,-0.0008985045
0.6962181298,-0.0029289432,0.0001017927,0.0012326964,0.0013984195,0.0023652339,-0.0008770891
0.7042206371,-0.0029289253,9.65198181176997E-05,0.0012361682,0.0013911443,0.0023853173,-0.0008557139
0.7122231443,-0.0029289355,9.12553795552883E-05,0.0012396542,0.0013838761,0.0024054292,-0.0008343788
0.7202256516,-0.002928974,8.59993445203078E-05,0.0012431546,0.0013766151,0.0024255697,-0.000813084
0.7282281588,-0.0029290405,8.07517046061609E-05,0.0012466691,0.0013693612,0.0024457386,-0.0007918292
0.736230666,-0.002929135,7.55124514117244E-05,0.0012501979,0.0013621145,0.0024659359,-0.0007706145
0.7442331733,-0.0029292576,7.02815765413479E-05,0.0012537408,0.0013548749,0.0024861616,-0.0007494397
0.7522356805,-0.0029294081,6.5059071604851E-05,0.0012572979,0.0013476424,0.0025064156,-0.000728305
0.7602381878,-0.0029295866,5.98449282175229E-05,0.0012608691,0.0013404172,0.0025266977,-0.0007072101
0.768240695,-0.0029297929,5.46391380001201E-05,0.0012644544,0.0013331991,0.002547008,-0.0006861552
0.7762432022,-0.002930027,4.94416925788644E-05,0.0012680538,0.0013259881,0.0025673463,-0.00066514
0.7842457095,-0.0029302889,4.42525835854413E-05,0.0012716672,0.0013187844,0.0025877126,-0.0006441646
0.7922482167,-0.0029305785,3.90718026569988E-05,0.0012752946,0.0013115879,0.0026081068,-0.000623229
0.800250724,-0.0029308958,3.38993414361452E-05,0.001278936,0.0013043986,0.0026285288,-0.000602333
