Time,deltaX [m],deltaY [m],deltaZ [m],deltaRoll [rad],deltaPitch [rad],deltaYaw [rad]
0.010132074,0,0,0,0,0,0
0.020447969,0,0,0,0,0,0
0.030645132,0,0,0,0,0,0
0.040842056,0,0,0,0,0,0
0.051105976,0,0,0,0,0,0
0.061794043,-0.0490455931,-0.0230323621,0.0111457717,-0.0620125314,0.1004929854,0.0080128104
0.255224943,-0.0290134755,-0.0026147019,0.0103504714,-0.0194626591,0.0370121914,0.0091173173
0.456665993,-0.0294997887,-0.0071094258,0.0182704351,-0.0169910249,0.058429757,0.029484725
0.654070139,-0.0312769098,-0.0102191198,0.0197636317,-0.0135464258,0.0630053056,0.0373764621
0.855079174,-0.0325301652,-0.0112385678,0.0204287168,-0.0208012572,0.0663148256,0.031177795
1.056200027,-0.0340373231,-0.0084869288,0.0198299346,-0.0175592301,0.0692454985,0.0394003196
1.256682157,-0.0303076162,-0.008607311,0.0181114449,-0.0115798578,0.051881381,0.0316135017
1.45485115,-0.0313712825,-0.0099390648,0.0181521071,-0.0161797616,0.0631852906,0.0332396646
1.657945156,-0.0291023327,-0.0012398197,0.0223509248,-0.0349494125,0.0847278974,0.0104112851
1.859969139,-0.0366343397,-0.0056518364,0.0246197335,-0.0249201675,0.0725859249,0.0172540894
2.060722113,-0.0375664432,-0.0049099418,0.0242173582,-0.0274376604,0.0804867364,0.0254662109
2.254131079,-0.038582901,-0.0124025573,0.019303958,-0.0087856197,0.0636310894,0.0441763567
2.454693079,-0.0396632386,-0.0084374982,0.0214894902,-0.0163398116,0.0618059823,0.0275744686
2.655791044,-0.0430376689,-0.0050820166,0.028812514,-0.0404680855,0.1001449215,0.0099940592
2.854978085,-0.0453001248,-0.0038396624,0.0306865584,-0.0387715025,0.1123435114,0.0175976886
3.054968119,-0.0505182575,-0.0070281485,0.0305778811,-0.0199653755,0.1179751844,0.0194989471
3.258718014,-0.0531682859,0.0013291894,0.0326438772,0.3964659977,0.1496762382,-0.0123207125
3.456522942,-0.0610738994,0.0203434092,0.0488103077,0.0387610984,0.1693050393,-0.0761371732
3.657775164,-0.0700350619,0.027414171,0.0619318207,-0.110279779,0.2097107454,-0.1253268005
3.857685089,-0.0561998271,0.014632025,0.0435259126,-0.0745415,0.1701509522,-0.0796915012
4.060244083,-0.0422232357,-0.0053612274,0.046495584,-0.0182539466,0.1773446237,0.0111404708
4.259767055,-0.0417455983,-0.0116851938,0.0476210172,0.0049084655,0.173144123,0.0368276532
4.456840038,-0.0405564339,-0.0146168593,0.0428722626,0.0149465082,0.1887048157,0.0542014324
4.654067993,-0.0361991324,-0.0140955685,0.0346281056,0.0165313265,0.1635959779,0.0416718321
4.854918003,-0.0273947907,-0.0106670628,0.0237402809,0.0136854801,0.132936054,0.0293904904
5.056875944,-0.0388623036,-0.0083249439,0.0245947785,0.0122143022,0.1237233299,0.0142781565
5.254879951,-0.0536711981,0.001534115,0.0226839139,0.0053825623,0.0601052576,0.00693177
5.457420111,-0.0400633105,-0.0065755264,0.0217810683,0.0184037304,0.080173135,0.0258973483
5.656635046,-0.0264367523,-0.0089364556,0.0164390085,0.0204838344,0.0799719274,0.0297662503
5.857402086,-0.0081450149,-0.0125687157,0.0120136844,0.0191766417,0.1098691419,0.0425603004
6.057575941,-0.0171827998,0.001371469,0.005942068,0.0019161878,0.0030091853,-0.004089845
6.25861311,-0.0444713787,0.001415924,0.0165199335,0.0097961367,-0.0040997762,0.0045078614
6.459637165,-0.0296497294,-0.0127035075,0.0185698696,0.033699397,0.1318259397,0.0426949655
6.657052994,-0.0373852655,-0.0077618561,0.0132295682,0.0183873967,0.0940248997,0.0096670556
6.854530096,-0.0689429094,-0.0006184023,0.0175047068,0.0188225875,0.0237423657,0.0133962025
7.054298162,-0.0482677699,-0.0003133148,0.0123516793,0.0160389756,0.0280882753,0.0173542311
7.256543159,-0.021256217,-0.0092379101,0.0101874596,0.0280518766,0.0926317836,0.0111115612
7.456521034,-0.0263842186,0.007042978,0.0300572285,0.0413891179,0.1247287842,-0.0224073882
7.655488968,-0.0630808014,0.0085822276,0.0324563553,0.0363227848,0.0205453809,-0.0036128615
7.85729599,-0.0451872991,0.0111089558,0.0246673994,0.0329683014,0.0665655251,-0.0338108155
8.056727171,-0.0246297763,0.0052390461,0.0224575078,0.0473377559,0.1312753919,-0.0466147639
8.257279158,-0.0506548502,0.0060482616,0.0168265522,0.0185442373,0.0661264451,-0.0283860908
8.458044052,-0.0183289127,0.0116392296,0.0215198346,0.0265686703,0.0328993666,-0.0382101081
8.658499956,-0.0020931428,-0.0007202903,0.0036333604,0.0052407525,-0.0032236228,0.0067441241
8.857758999,-0.0073871307,0.0014731869,0.001157378,-0.0001295367,-0.0086259756,0.005797709
9.061537027,-0.0180374864,0.0045261727,0.0111819375,0.0147509681,0.003481397,-0.0079773637
9.263375044,-0.021816521,0.0043603256,0.018170005,0.030017276,0.0278075152,-0.0070989896
9.463006973,0.0001521459,0.0069965793,0.0055717999,0.0078259574,0.0300725441,-0.0416773415
9.655507088,0.0014486687,-0.0008928512,0.0001727764,0.0014468374,-0.0021787436,-0.0073140491
9.85513401,-0.0024478006,0.0013272211,0.0022182637,0.0041302129,-0.0305728504,0.0128259736
10.05709815,-0.0027817864,0.0009920634,0.0027624368,-0.0042751333,-0.037862299,0.0082140396
10.255012035,-0.0009571663,0.0003730155,0.0008377955,-0.0012802069,-0.0113177564,0.00416765
10.458417177,0.0012929235,-0.000859691,-0.0008023658,0.0010090942,0.0070754999,-0.0042081975
10.657572031,0.0002885348,-0.0002631591,-8.47406842869607E-05,0.0003510891,0.0010162824,-0.0023797838
10.893636942,0,0,0,0,0,0
10.903848171,0,0,0,0,0,0
10.914056063,0,0,0,0,0,0
10.924258947,0,0,0,0,0,0
10.934473991,0,0,0,0,0,0
