This file saves data from the most recent trajectory.
x_nom_vel,y_nom_vel,z_nom_vel,roll_nom_vel,pitch_nom_vel,yaw_nom_vel,x_compl_vel,y_compl_vel,z_compl_vel,roll_compl_vel,pitch_compl_vel,yaw_compl_vel,Fx,Fy,Fz,Tx,Ty,Tz
-0.004302,-0.000563,0.000489,0.003591,0.005479,-0.001555,-0.004302,-0.000563,0.000489,0.003591,0.005479,-0.001555,1.379544,-24.174586,-5.521930,-0.308206,1.328061,-2.594857,
-0.004317,-0.000569,0.000505,0.003613,0.005533,-0.001521,-0.004317,-0.000569,0.000505,0.003613,0.005533,-0.001521,1.507539,-24.065934,-5.357582,-0.316078,1.439308,-2.630946,
-0.004332,-0.000575,0.000521,0.003634,0.005586,-0.001488,-0.004332,-0.000575,0.000521,0.003634,0.005586,-0.001488,1.310324,-24.022462,-5.476825,-0.329879,1.330477,-2.714678,
-0.004347,-0.000581,0.000538,0.003655,0.005640,-0.001454,-0.004347,-0.000581,0.000538,0.003655,0.005640,-0.001454,1.404899,-24.240510,-5.408065,-0.300279,1.383781,-2.554883,
-0.004362,-0.000586,0.000554,0.003676,0.005694,-0.001421,-0.004362,-0.000586,0.000554,0.003676,0.005694,-0.001421,1.572272,-23.676205,-5.379245,-0.262480,1.417659,-2.828972,
-0.004377,-0.000592,0.000571,0.003697,0.005747,-0.001388,-0.004377,-0.000592,0.000571,0.003697,0.005747,-0.001388,1.455411,-24.007793,-5.516156,-0.256633,1.323810,-2.654809,
-0.004393,-0.000598,0.000587,0.003718,0.005801,-0.001354,-0.004393,-0.000598,0.000587,0.003718,0.005801,-0.001354,1.709540,-23.657317,-5.357678,-0.272454,1.439796,-2.776741,
-0.004408,-0.000603,0.000603,0.003738,0.005854,-0.001321,-0.004408,-0.000603,0.000603,0.003738,0.005854,-0.001321,1.566170,-23.715831,-5.556422,-0.273993,1.307511,-2.796637,
-0.004423,-0.000609,0.000620,0.003759,0.005908,-0.001288,-0.004423,-0.000609,0.000620,0.003759,0.005908,-0.001288,1.655922,-23.931051,-5.504649,-0.287716,1.342164,-2.634068,
-0.004438,-0.000614,0.000636,0.003779,0.005961,-0.001255,-0.004438,-0.000614,0.000636,0.003779,0.005961,-0.001255,1.808319,-23.418702,-5.470247,-0.278407,1.381940,-2.892402,
-0.004453,-0.000620,0.000652,0.003800,0.006015,-0.001222,-0.004453,-0.000620,0.000652,0.003800,0.006015,-0.001222,1.676417,-23.867764,-5.577789,-0.278922,1.300326,-2.667202,
-0.004468,-0.000626,0.000669,0.003820,0.006068,-0.001189,-0.004468,-0.000626,0.000669,0.003820,0.006068,-0.001189,1.928560,-23.452805,-5.388044,-0.274788,1.432261,-2.819988,
-0.004484,-0.000631,0.000685,0.003840,0.006121,-0.001156,-0.004484,-0.000631,0.000685,0.003840,0.006121,-0.001156,1.674051,-23.612371,-5.541705,-0.281094,1.310596,-2.808949,
-0.004499,-0.000637,0.000701,0.003860,0.006175,-0.001123,-0.004499,-0.000637,0.000701,0.003860,0.006175,-0.001123,1.728491,-23.793492,-5.453718,-0.295487,1.367521,-2.688003,
-0.004514,-0.000642,0.000717,0.003880,0.006228,-0.001091,-0.004514,-0.000642,0.000717,0.003880,0.006228,-0.001091,1.723237,-23.537897,-5.507464,-0.299538,1.326760,-2.840145,
-0.004529,-0.000648,0.000734,0.003900,0.006281,-0.001058,-0.004529,-0.000648,0.000734,0.003900,0.006281,-0.001058,1.650701,-23.867131,-5.586963,-0.297073,1.270284,-2.659248,
-0.004544,-0.000653,0.000750,0.003920,0.006334,-0.001025,-0.004544,-0.000653,0.000750,0.003920,0.006334,-0.001025,1.774677,-23.624805,-5.399415,-0.293672,1.399923,-2.778679,
-0.004560,-0.000659,0.000766,0.003940,0.006387,-0.000993,-0.004560,-0.000659,0.000766,0.003940,0.006387,-0.000993,1.622932,-23.925003,-5.443366,-0.282641,1.376220,-2.659789,
-0.004575,-0.000664,0.000783,0.003959,0.006440,-0.000960,-0.004575,-0.000664,0.000783,0.003959,0.006440,-0.000960,1.622932,-23.925003,-5.443366,-0.282641,1.376220,-2.659789,
-0.004590,-0.000670,0.000799,0.003979,0.006493,-0.000928,-0.004590,-0.000670,0.000799,0.003979,0.006493,-0.000928,1.693285,-23.551804,-5.524661,-0.312317,1.310065,-2.839206,
-0.004605,-0.000675,0.000815,0.003998,0.006546,-0.000895,-0.004605,-0.000675,0.000815,0.003998,0.006546,-0.000895,1.858979,-23.537200,-5.441807,-0.300596,1.371712,-2.809535,
-0.004620,-0.000681,0.000831,0.004018,0.006599,-0.000863,-0.004620,-0.000681,0.000831,0.004018,0.006599,-0.000863,1.700667,-23.724695,-5.648360,-0.276268,1.230693,-2.743793,
-0.004636,-0.000686,0.000847,0.004037,0.006652,-0.000831,-0.004636,-0.000686,0.000847,0.004037,0.006652,-0.000831,-12.549500,-2.180365,-20.577353,2.930439,0.361731,-0.939991,
-0.004651,-0.000691,0.000864,0.004056,0.006705,-0.000799,-0.004651,-0.000691,0.000864,0.004056,0.006705,-0.000799,2.110976,-23.210115,-5.554431,-0.276137,1.324784,-2.902678,
-0.004666,-0.000697,0.000880,0.004075,0.006758,-0.000767,-0.004666,-0.000697,0.000880,0.004075,0.006758,-0.000767,2.146601,-23.452260,-5.534375,-0.271695,1.361540,-2.761524,
-0.004681,-0.000702,0.000896,0.004094,0.006810,-0.000735,-0.004681,-0.000702,0.000896,0.004094,0.006810,-0.000735,2.146601,-23.452260,-5.534375,-0.271695,1.361540,-2.761524,
-0.004696,-0.000708,0.000912,0.004113,0.006863,-0.000703,-0.004696,-0.000708,0.000912,0.004113,0.006863,-0.000703,2.671176,-22.809585,-5.450324,-0.250113,1.459302,-2.984435,
-0.004712,-0.000713,0.000928,0.004132,0.006916,-0.000671,-0.004712,-0.000713,0.000928,0.004132,0.006916,-0.000671,3.400477,-22.437846,-5.418716,-0.251552,1.549044,-3.009251,
-0.004727,-0.000718,0.000944,0.004150,0.006968,-0.000639,-0.004727,-0.000718,0.000944,0.004150,0.006968,-0.000639,3.400477,-22.437846,-5.418716,-0.251552,1.549044,-3.009251,
-0.004742,-0.000724,0.000960,0.004169,0.007021,-0.000607,-0.004742,-0.000724,0.000960,0.004169,0.007021,-0.000607,3.423310,-22.266890,-5.587426,-0.230974,1.439823,-3.098550,
-0.004757,-0.000729,0.000977,0.004187,0.007073,-0.000575,-0.004757,-0.000729,0.000977,0.004187,0.007073,-0.000575,4.093488,-21.898146,-5.445602,-0.262149,1.590121,-3.108565,
-0.004772,-0.000734,0.000993,0.004206,0.007126,-0.000544,-0.004772,-0.000734,0.000993,0.004206,0.007126,-0.000544,4.093488,-21.898146,-5.445602,-0.262149,1.590121,-3.108565,
-0.004788,-0.000739,0.001009,0.004224,0.007178,-0.000512,-0.004788,-0.000739,0.001009,0.004224,0.007178,-0.000512,5.002632,-21.080489,-5.551067,-0.273423,1.599499,-3.305349,
-0.004803,-0.000745,0.001025,0.004242,0.007231,-0.000480,-0.004803,-0.000745,0.001025,0.004242,0.007231,-0.000480,6.014123,-20.283308,-5.329256,-0.283391,1.855309,-3.493477,
